ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国,,オーストラリア,オーストリア,ベルギー,カナダ,デンマーク,フィンランド,フランス,ドイツ,ギリシャ,アイルランド,イタリア,日本,韓国,ルクセンブルグ,オランダ,ニュージーランド,ノルウェー,ポルトガル,スペイン,スウェーデン,スイス,イギリス,アメリカ,クゥエート,アラブ首長国連邦,主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計,非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計,国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計,合計合計合計合計合計合計合計合計合計合計合計合計合計
ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域地域地域地域地域地域地域地域地域地域地域地域地域,国国国国国国国国国国国国国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アフリカ,Egypt,4.2,7.4,0.2,9.2,18.5,1.9,210.6,155.4,9.1,0.1,16.8,167.5,4.2,0.1,11,0,0.7,0,7.8,1.4,5.8,16.7,288.3,160.7,27.2,936.9,188,327.6,1452.5
アフリカ,Libya,0,0.1,0,0,0,0,3.8,3.5,0.4,0,0.5,0.1,0.2,0,0.1,0,0,0,0.2,0,0.1,1.6,6.6,0,0,17.4,0,22.9,40.3
アフリカ,Morocco,0,0.2,22.7,5.7,1.7,0.6,390.8,105.5,0.2,0,12.6,174.8,3.9,0,1.1,0,0,0.2,119.8,0,2.6,3.3,71.8,51.2,16.2,917.5,67.4,462.9,1447.8
アフリカ,Tunisia,0,1,1.8,0.4,0,0.3,213.5,62.2,0.2,0,26.5,118.4,5.2,0,0.1,0,0,0,164,0,1,2.5,0.9,7.3,0.7,597.9,8,259.2,865.1
アフリカ,"North of Sahara, regional",0,0.4,1.1,10.9,0,0.4,16.2,30.2,3.4,0,0.1,0,0,1.6,0,0,0.1,0.1,47.7,0.5,1.5,0,0,0,0,114.1,0,140.7,254.8
アフリカ,Angola,0,0,0.8,0.7,1.2,2,6.2,7,0.1,1.2,3.9,37.6,19.1,0,0.8,0,13.2,15.1,13.4,1.2,0.4,16.7,56.6,0,0,197.3,0,93,290.2
アフリカ,Benin,0.4,0.1,29.3,6.4,39.3,0.7,57,34.7,0,0.1,2.1,29.1,0.1,2,31.3,0,0.1,0,1.1,1.9,11.9,0,98.9,1.5,0.2,346.3,1.7,341.7,689.6
アフリカ,Botswana,0.7,0,0.3,1.5,0.5,0.2,6.8,2.4,0,0,0,15.9,0,0,0,0,0.6,0,0,4.7,0,1.1,78,0,0,112.6,0,53.7,166.3
アフリカ,Burkina Faso,0.4,5,16.1,30.8,34.4,0.1,81.4,52.5,0.1,0,4.3,41.6,0.3,17.9,54.4,0,0.8,0,12.3,34.9,26.5,0.3,62.1,7.7,2.1,476.1,9.8,570,1055.8
アフリカ,Burundi,0.4,0.5,59.6,4.7,3.5,0.5,17.4,29.5,0.1,2.2,6.1,39.1,0,1.1,19.1,0,19.5,0,1.2,8.1,11.6,20.7,43.5,0,0,288.4,0,341.9,630.3
アフリカ,Cameroon,0.3,0.3,4.4,7.2,0.2,0.4,200.3,90.5,0.2,0.3,4.3,42,2.6,0.2,0.2,0,0.4,0,9,0.6,1.4,1,18,0,0.3,383.9,0.3,266.5,650.7
アフリカ,Cape Verde,0.2,4.4,0.4,0.1,0,0,4.1,0.4,0,3.3,0.1,17.4,0,16.9,4.1,0,0,146.6,21.2,0.1,0.7,0.9,37.1,0,0,258.1,0,88.4,346.5
アフリカ,Central African Rep.,0,5.2,2.6,1.4,0,2.9,30.4,3.1,0,0,2.6,14.2,0.3,0.4,2,0,0,0,3.3,8.6,20.9,3,20.5,0,0.2,121.4,0.2,147.7,269.3
