ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国,,オーストラリア,オーストリア,ベルギー,カナダ,デンマーク,フィンランド,フランス,ドイツ,ギリシャ,アイルランド,イタリア,日本,韓国,ルクセンブルグ,オランダ,ニュージーランド,ノルウェー,ポルトガル,スペイン,スウェーデン,スイス,イギリス,アメリカ,クゥエート,アラブ首長国連邦,主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計,非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計,国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計,合計合計合計合計合計合計合計合計合計合計合計合計合計
ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域地域地域地域地域地域地域地域地域地域地域地域地域,国国国国国国国国国国国国国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アメリカ,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ,Costa Rica,0,0.2,1,0.7,0,0.2,5.1,24.2,0,0,0.1,79.4,0.2,0.1,3.4,0,0.5,0,7.1,0.5,0.3,0.8,28.9,0,0,152.7,0,10.3,163
アメリカ,Cuba,0,0.1,4,5.7,0,0,2.7,2.5,0,0,0.9,5.2,0,0.3,0.1,0,1.1,0,42.8,0,5.2,0.4,16.4,0.2,0,87.4,0.2,43,130.6
アメリカ,Dominica,0.2,0,0,0.1,0,0,3.4,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0.3,0.1,2.2,0,7,2.2,24.3,33.4
アメリカ,Dominican Republic,0,0,1.1,1.6,0.1,0.2,4.8,5.1,0,0,1.6,11.9,2.7,0,0.2,0,0.3,0,54.5,0,0,0.1,56.7,0,0,140.9,0,109,249.9
アメリカ,El Salvador,0,0.4,1,2,0,0.1,3.3,19.8,0,0.9,1.4,31,4.3,7.1,0.1,0,1.1,0.1,87.8,1.5,0.2,0,162.7,0,0,325,0,70.4,395.4
アメリカ,Grenada,0.4,0,0,0.1,0,0,0.1,0.1,0,0,0,5.8,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,6.7,0.5,24.5,31.7
アメリカ,Guatemala,0.5,6,3.7,10.4,2.6,1,3.3,17.1,0,1.7,5.7,51.5,5.4,0.5,20.9,0.3,9.4,0.1,92.9,28.1,2.3,0.2,118.4,0,0,382,0,61.4,443.4
アメリカ,Haiti,18.4,8.9,25.2,458.9,25,12.2,212.2,43.6,0.7,7.2,63.1,72,5.5,3.8,19.2,1.4,66.8,0.1,155.8,40.3,22,26.2,1106.8,0,4.6,2395.2,4.6,1495.5,3895.4
アメリカ,Honduras,0,0,5,17.6,3.4,1.3,1.4,14.1,0,1.9,0.9,16,6.5,0.1,0.3,0.1,1.5,0,69.3,9.3,5.4,25.3,102.9,2.3,0.1,282.3,2.4,305.9,590.6
アメリカ,Jamaica,0.4,0.1,4.8,4.3,0,0,0.2,0.2,0,0,0,18.8,0.1,0,0,0.1,0.1,0,0.5,0,0,4,20.2,0,0,53.7,0.1,136.7,190.5
アメリカ,Mexico,0.4,0.9,1.1,1.4,0,1,271.2,43.8,0.1,0.1,1,14.3,0.6,0,0.1,0,0,0,45.2,0,0.2,9.4,205.6,0,0.2,596.5,0.2,28.2,624.8
アメリカ,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,19.7,0,8.7,28.4
アメリカ,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ,Nicaragua,1,8.5,16.7,12.5,31.8,17,1,27.7,0,2.2,1.8,34.4,5.6,9.4,26.4,0,18.5,0,106.6,10.5,12.8,7.3,54.5,0,0,406.2,0,225.2,631.4
アメリカ,Panama,0,0,0,0.5,0,0,0.4,1.4,0,0,0,109.8,0.7,0,0,0,2.4,0,9,0.1,0,0,14.6,0,0,138.9,0,8.2,147.1
アメリカ,St. Kitts-Nevis,0.3,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,8.7,9.8
アメリカ,St. Lucia,0.7,0,0,0.1,0,0,0.8,0.1,0,0,0,2.6,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0,0,4.6,0,34.7,39.3
アメリカ,St.Vincent & Grenadines,0.5,0,0,0.3,0,0.2,0,0,0,0,0,0.9,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,2.2,0,12.4,14.6
アメリカ,Trinidad and Tobago,0.5,0,0,0.3,0,0,0.5,0.4,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.2,1.3,0,0,3.5,0,1.3,4.7
アメリカ,Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ,Virgin Islands (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ,"West Indies, regional",1.2,0,0.2,39.8,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,1.3,0,0,24.9,23,0,0,91.8,0,42,133.8
アメリカ,"North & Central America, regional",0,5,1,21.2,17.5,6.1,23.5,45.4,0.2,1.4,0,0.1,0,1.8,0.5,0.3,0.7,0,32.2,8.7,20.9,0.5,50.4,0,0,237.2,0,104.8,342
アメリカ,Argentina,0.2,0.3,0.1,1.1,0,0.2,13.5,22.3,0.6,0.2,7.2,44,0.2,0.2,0.5,0.1,0.1,0,35.5,0.1,0.4,0.5,3.8,0,0,131.2,0,21.2,152.4
アメリカ,Bolivia,0,0.3,23.6,19.1,41.4,1.2,12.5,79.3,0,0.8,5.9,54.6,1.7,1.2,47.5,0,5.9,0,147.6,27.7,19.4,0.1,86.1,0,0,575.9,0,228.4,804.4
アメリカ,Brazil,0.1,2,4,7.1,0,1.4,51.9,254.4,0.4,1,12.2,38.9,0.4,2.1,0.4,0.2,245.4,8.1,26.4,2,2.8,46,34.6,0,0.1,741.9,0.1,64.1,806.1
アメリカ,Chile,6.1,0.4,1,2.8,0,0.8,14.5,88,0.4,0.3,3.1,17.1,2.4,0.5,0.3,0.7,13.1,0,11.3,1.6,1.8,0.7,13.2,0,0,180.1,0,26.5,206.6
アメリカ,Colombia,0.1,0.9,5.6,22.7,0.3,2.1,128.3,54.1,0.1,1.4,5.9,13,7,1.8,26.3,0,14.2,0,64.3,24.7,12.9,2.6,424.1,0,0.2,812.4,0.2,114.8,927.4
アメリカ,Ecuador,0,0.2,12.9,1.7,0.9,0.9,8.1,29.6,0,0,2.5,23,4.5,0.3,0.5,0.4,3,0,76,0.2,0.9,0.2,37.6,0,0,203.5,0,45,248.5
アメリカ,Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ,Guyana,0.2,0,0.1,3.7,0,0.2,0,0.7,0,0,0,6.5,0,0,0,0,29.2,0,0,0,0,1.6,21.9,0,0,64.3,0,89.3,153.5
アメリカ,Paraguay,0,0,0,0.5,0.2,0.2,0.8,8.4,0,0,0.4,46.2,11.6,0.1,0,0,1,0,23.4,1.4,0.1,0,28.7,0,0,123.2,0,50.4,173.6
アメリカ,Peru,1.9,0.9,28.9,22.2,1.4,3.3,17.8,68.6,0.1,0.3,9.9,259.3,6.4,1.5,1,0.2,3.8,0,121.6,1,20.2,1.3,141.6,0,0,713.3,0,68.1,781.4
アメリカ,Suriname,0.1,0,2.2,0.1,0,0.1,1,0.1,0,0,0,0,0,0,76.3,0,0,0,0,0,0,0,1.6,0,0,81.6,0,23.2,104.7
アメリカ,Uruguay,0,0,0,0.5,0,0.1,2.8,3.3,0.1,0,10.1,13.6,0,0.1,0.1,0.1,0.1,0,12.7,0.1,0,0.1,1.1,0,0,44.9,0,17.8,62.8
アメリカ,Venezuela,0,0.2,0.2,0.4,0,0.7,6.9,7,0.1,0,0.4,3.1,0.2,0,0.1,0,0.1,0.2,9.9,0.1,0,1.1,8.6,0,0,39.1,0,9.7,48.9
アメリカ,"South America, regional",0.7,0,2.4,45.4,0.3,16,12.3,38,0.6,2.9,0.3,0.2,0,0,1.5,0.8,5.5,0.2,29.6,6.7,2.7,0,11.5,0,0,177.7,0,94.8,272.4
アメリカ,"America, regional",0,2.8,0.5,105.6,2.2,1.5,0.2,169.9,0.5,0,2.3,13.5,0.1,0,3.5,0.1,10.5,0.9,295.1,5.1,4.4,10.4,71.8,0,0,700.9,0,71.7,772.6
アジア,Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
アジア,Cambodia,53.9,0,13.8,8.2,18.2,4.1,27.4,41.3,0,3.1,0.3,149.6,37.3,0.4,1.3,4.1,4.7,0,23.1,23.7,3.1,26,86.4,0.6,0,529.9,0.6,238.9,769.4
アジア,China,32.3,17.2,3,20.1,13.5,5.6,362.1,539.3,0.6,3.9,11.4,992.7,5.8,0.9,5.6,1.5,22.6,0.1,39.1,6.2,8.2,124.6,86.5,28.7,0.1,2302.6,28.8,232,2563.5
アジア,Chinese Taipei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,Indonesia,356.2,0.9,7.5,22.6,13.5,1.8,268.8,184.5,0.1,0,10.5,1593.7,28.2,0.5,81.4,6.5,41.9,0,11.2,5.9,6.8,54.6,263.4,0,0.5,2960.5,0.5,472.5,3433.5
アジア,Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,"Korea, Dem. Rep.",0.2,0,0.4,0,0,0.7,0.7,2.5,0.1,0,0.4,0,0,0,0.1,0,2.5,0,0,3.6,8.2,0.4,5.4,6.3,0,25.4,6.3,48.2,79.8
アジア,Laos,32.7,0.9,1.1,0.6,1.1,6.5,15.1,24.8,0,1.2,0,123.6,27.7,12.3,0.1,2.6,2.6,0,0,5.9,14.5,0.1,12.8,0,0.2,286.3,0.2,160.6,447.1
アジア,Macao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,Malaysia,2.3,0.1,0,0,2.3,0.3,7,11.2,0,0,0,143.9,1.7,0,0.2,0,0.8,0,0.1,0.5,0,4.2,18.5,0,0.1,193.2,0.1,4.2,197.4
アジア,Mongolia,6.6,1.3,0,8.3,1.1,1.1,5,31.4,0,0,0.1,71,39.3,2,8.8,0.2,1.7,0,0.5,1.3,11.3,0.8,47.2,3.2,0,239.1,3.2,93.5,335.9
アジア,Philippines,106.2,0.5,7.3,16.7,2.6,1.2,202.3,53.2,0.1,0.7,2.3,687,30.6,0.3,0.4,2.3,17.6,0,33.2,6.8,0.5,0.9,148.3,0,0.1,1320.7,0.1,139,1459.9
アジア,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,Thailand,8.1,0.9,0.2,1,1.5,1.1,16.8,21,0.1,0.4,1.1,226,2.5,0.4,0.2,0,0.3,0,0.6,7.3,2,7.2,50.3,0,0.2,349,0.2,72.9,422
アジア,Timor-Leste,124,0.1,0,1.1,0,0.7,0.1,9.4,0,5.8,0.8,27.7,1.8,0,0,6.6,7.8,33.7,6,4.8,0,0,27.3,0,0.1,257.9,0.1,33.2,291.1
アジア,Vietnam,119.8,3,24,25,71.6,25.2,296.9,101.7,0,16.8,9.3,1117.1,101.2,12.1,21.9,6.5,20.2,0,18.8,16.3,25,82.8,100.5,2.9,0.2,2215.9,3.1,1252,3471.1
アジア,"Far East Asia, regional",15.1,0.1,0,36.5,0,0.9,26.7,16.1,0.7,0,0,7.7,0.1,0,0,4.5,5.2,0,19.8,0.8,4.5,0,15.7,0,0,154.4,0,11,165.4
アジア,Afghanistan,99.2,2.4,15.2,267.1,77.1,25.8,58.6,469.8,0.1,9,54.3,745.7,93.7,3.2,115,3.5,120.2,14,60.8,91.8,16.9,237.7,3001.3,0,21.4,5582.4,21.4,845.9,6449.6
アジア,Armenia,0,1.4,0.2,0,1.8,0.1,4.6,18.2,1.7,0,0.1,80.4,0.9,0.1,1.6,0,3.6,0,0.3,0.9,2.6,0.6,93.3,0,0.8,212.3,0.8,166.8,379.9
アジア,Azerbaijan,0,0.6,0.1,0,0,0.4,5.1,26.7,0.1,0,0,3.6,4.1,0.1,0,0,3.4,0,0.1,1,3.8,0.9,35.9,0,0.5,85.8,0.5,93.7,180
アジア,Bangladesh,50.3,0.5,1.6,86.1,84.3,1.6,6.9,65,0.1,2.3,5.4,142.5,56.4,0.9,78.6,0.1,16.9,0,6,36.3,19.4,229.9,151.5,12.3,0.1,1042.6,12.4,1010,2065
アジア,Bhutan,7.5,4.5,0,0.3,13.1,0.3,0.2,0.4,0,0,0,43.2,0.4,0,2.7,0,1.9,0,0,0,1.4,0,0.6,0,0,76.4,0,57.6,134
アジア,Georgia,0,1.5,0.2,0,2.5,4.7,6.2,85.3,1.7,0,0.2,9.4,0.1,0,3.2,0,10,0.3,0.1,20.2,6.4,3.4,203.7,8.1,0,359.1,8.1,276.1,643.2
アジア,India,16.4,2.1,12.6,8.1,10.3,6.1,50.9,597.6,0.1,3.9,11.5,1708.3,1.1,3.7,2.5,0.4,24,0.4,11.6,11,8.6,663.1,108.6,0,0.2,3262.9,0.2,1399.8,4662.9
アジア,Kazakhstan,0,0.3,0,0.1,0.7,0.1,4.1,15.3,0.4,0,0,30.6,4.5,0.1,0.4,0,4.3,0,0.1,0.9,0,1.7,68.1,0,11.1,131.5,11.1,50.4,193
アジア,Kyrgyz Republic,0.9,1.1,0.9,2,1.1,2.2,1.5,25.2,0.1,0.4,0,23.5,1.8,0.1,0.5,0.1,6.3,0,0.9,9.3,17.1,7.3,56,0,0,158.5,0,179.7,338.2
アジア,Maldives,5,0,0,0.1,11.4,0.3,0.9,0.1,0,0,0,37.3,0.1,0.1,0,0.6,0,0,0,0,0,0.3,1,5.2,1.7,57.1,6.9,53.7,117.7
アジア,Myanmar,44.4,0,0.1,0.6,11.2,0.4,4.5,18.3,0,0,1,46.8,5.5,0.2,2.7,0.9,21.7,0,0,6.5,5.2,44.2,31.3,0.1,0,245.6,0.1,136.2,381.9
アジア,Nepal,23.6,2.1,1.7,11.8,38.4,22.4,1.3,43.8,0.1,0.5,0.3,91.5,21.3,0.8,0,0.6,47.2,0,0.2,1.8,26.7,110.4,51.9,0,0.2,498.2,0.2,448,946.4
アジア,Pakistan,113.5,9.8,14.7,102,30,17,14.5,156.7,0.4,4.9,12.2,247.1,19.5,3.7,53.7,2.9,83.1,0,22.7,42.4,23.6,298.8,1198,7.5,64,2471.1,71.5,1076.9,3619.5
アジア,Sri Lanka,61.2,1.6,0.2,15.7,10.7,3.2,51.9,28.5,0.2,0.2,0.7,365.6,47.9,0.7,5.2,0.2,29,0,0.9,11.1,9.6,10.4,54.9,6.2,0.2,709.5,6.4,342,1057.9
アジア,Tajikistan,0,0.1,0,0.7,0.5,0.8,0.2,34.7,0,0.1,0,43.4,2.4,0.3,0.5,0,3.2,0,0,5.3,13.5,12.5,46.9,0.8,1.1,165.4,1.9,261.6,428.8
アジア,Turkmenistan,0,0,0,0,0,0.1,0.1,1.8,0,0,0,1.6,1,0,0,0,0.6,0,0,0.1,0,0.1,8.4,0,0,13.8,0,15.1,29
アジア,Uzbekistan,0,0.3,0,0,0,0,2.3,29.7,0.4,0.1,0,34.1,34.8,0.3,0,0,0.3,0,0.2,0.4,1,1.2,15.1,23.1,0,120.3,23.2,104.4,247.9
アジア,"Central Asia, regional",0,3.6,0.1,15.3,0,1.1,0.1,94.2,0,0,0,2.7,0.6,0,0.7,0,3.7,0,9,4,12.9,0,20.9,0,0,169,0,33,202
アジア,"South Asia, regional",0,0.9,0.1,11.4,0.8,3.1,0,17.8,2,0,0,1.8,0,0.2,2,0.2,2.2,0,8.8,3.5,1.3,2,31.3,0,0,89.5,0,9.4,98.9
アジア,"South & Central Asia, regional",2,0,0,2.5,1.1,2.4,129,0,0,3.7,1.5,0.1,0.2,0,0,0,2.1,0,0,16.1,0,0,4.8,0,0,165.6,0,48.5,214
アジア,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,Iran,0.3,5.1,0.1,0.1,0,0,14.2,45.8,0.7,0,0.1,21.1,0.3,0,3.4,0,7.3,0,0.2,0.5,0.2,0,1.6,0,0,101,0,17.9,118.9
アジア,Iraq,52.2,0.5,0.4,6.3,34.2,3.7,9.6,36.8,0.6,1,11,144.4,11.9,0.4,4.3,0.4,7.7,0,0.4,24.6,3.5,31,1622.9,1.7,0.4,2007.9,2.1,131.5,2141.6
アジア,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,Jordan,1.1,0.1,0.1,7,6.1,0.3,12.6,68.4,2.5,0,3.5,58.4,11.9,0,1,0,0.4,0,9.2,0.2,3.6,2.6,377.6,82.2,1.4,566.6,83.6,461.4,1111.6
アジア,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,Lebanon,1.6,0.1,4.1,5.3,2.6,0.6,67,28,1.1,0.6,25,11.2,1.8,0.2,1,0.6,9.3,0,23.4,0.9,6.3,4,84.1,37.9,8.4,278.9,46.3,164.2,489.4
アジア,Oman,0,0,0,0,0,0,0.8,1,0,0,0,1.5,0,0,0.4,0,0,0,0,0,0,0.9,2.9,7.5,24.1,7.6,31.7,0.6,39.8
アジア,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,Syria,0.1,0.4,0.2,0.1,4.9,0.5,25.4,64,3.5,0,4.8,27.2,0.2,0,0.1,0,1.3,0,6.1,0.2,2.6,1.9,6.9,5.3,16.3,150.3,21.5,143.5,315.3
アジア,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アジア,West Bank & Gaza Strip,38.1,5.2,24.3,65.1,28.2,11.1,71,106.6,6.8,6.2,35,78.6,7.4,5.8,35.7,0,109.5,0,97.6,55.9,20.3,97.9,720.8,6.5,87.3,1627.1,93.8,761.8,2482.7
アジア,Yemen,1.9,0,0.3,2.5,3.5,3.6,8.9,82.1,0,0.1,4.3,28.6,0.4,0.5,26.5,0.4,0.4,0,1.5,7.2,4.1,63.9,45.8,19.5,67,286.8,86.6,380.7,754.1
アジア,"Middle East, regional",0.1,0,0,17.5,12.3,0.9,11.8,28.8,1.1,0,1.3,2.7,0.7,0.1,0.1,0.2,12,0,11.7,21.4,3.4,10.1,28.1,0,0,164.4,0,17.2,181.6
アジア,"Asia, regional",32,0.6,2.9,235.4,8.6,15.2,0.8,192.5,2.2,0,0.7,51.3,5.6,0.6,8.8,0.1,23.2,0.2,7.2,19.8,12.7,40.8,79.5,0,0,740.5,0,73.9,814.4
オセアニア,Cook Islands,3.6,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,9.8,0,0,0,0,0,0,0.1,0,0,13.5,0,1,14.5
オセアニア,Fiji,33.7,0,0,0.1,0,0,1,0.6,0,0,0,20.4,2.1,0,0,3.6,0,0,0,0,0,0.5,1.7,0,0,63.8,0,18.3,82.1
オセアニア,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オセアニア,Kiribati,14.5,0,0,0,0,0,0,0.1,0,0,0,3.5,0.2,0,0,2.9,0,0,0,0,0,0.1,0,0,0,21.2,0,1.2,22.5
オセアニア,Marshall Islands,1.7,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0.1,0,0,0,0,0,0,68,0,0,82.4,0,10.5,92.9
オセアニア,"Micronesia, Fed. States",1.4,0,0,0,0,0,0,0,0,0,0,16.3,0,0,0,0.1,0,0,0,0,0,0,107.1,0,0,125,0,1.5,126.5
オセアニア,Nauru,23.3,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,1.7,0,0,0,0,0,0,0,0,0,26.7,0,1.1,27.8
オセアニア,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オセアニア,Niue,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,14.1,0,1.2,15.3
オセアニア,Northern Marianas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
オセアニア,Palau,0.7,0,0,0,0,0,0,0.2,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,15,0,0,25.6,0,0.7,26.3
オセアニア,Papua New Guinea,386.9,0.7,0,0.1,0,0.1,0.2,2,0,0,0,41.4,0.4,0,0,23.9,1.8,0,0.1,0,0.1,1.3,2.3,0,0,461.3,0,90.5,551.8
オセアニア,Samoa,42.8,0,0,0.1,0,0,0,0,0,0,0,27,0,0,0,17.8,0,0,0,0,0,0.2,1.4,0,0,89.4,0,67.1,156.5
オセアニア,Solomon Islands,254,0,0,0.1,0,0.1,0,0,0,0,0,16.3,0,0,0,25.5,0,0,0,0,0,0.2,0.2,0,0,296.4,0,48.7,345.1
オセアニア,Tokelau,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,14.5,0,0.1,14.6
オセアニア,Tonga,20.9,0,0,0.1,0,0,0,0,0,0,0,23.8,0,0,0,11.4,0,0,0,0,0,0.2,1.2,0,0,57.6,0,14.7,72.3
オセアニア,Tuvalu,6.4,0,0,0,0,0,0,0,0,0,0,4.5,0.1,0,0,1.9,0,0,0,0,0,0,0,0,0,13,0,0.6,13.6
オセアニア,Vanuatu,56,0,0,0.2,0,0,4.2,0,0,0,0,15.6,0,0,0,12.9,0,0,0,0,0,0.1,19.2,0,0,108.2,0,2.1,110.2
オセアニア,Wallis & Futuna,0,0,0,0,0,0,123.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.7,0,4.3,128
オセアニア,"Oceania, regional",128.1,0.4,0,1.6,0,0.3,18.8,2.3,0.4,0,0,4,2.6,0,0,34,0,0,5.1,0,0,6.3,51.1,0,0,255,0,33.9,288.9
途上国その他,,643.9,115.5,586,557,634.7,253.3,1247.3,2065.5,57.4,106.7,113,1561.9,64.7,72.3,2812.6,38.4,1384.4,31.1,950.2,1229.2,812.8,2728.4,6678.4,0.3,32.8,24744.6,33.2,2338.1,27115.8
合計,,3254.3,617,2126.4,3969.6,2185.1,839.1,9148.3,9436.6,211.8,587,975.9,15144.2,933.2,300.4,4952.1,271.2,3560.9,431.8,4389.8,2928.6,1728.2,8364.4,27384.7,616.8,538.5,103740.7,1155.3,42548.9,147445
